0
Diameter:	   5.00
   1.00
Area:	  19.6350
GaugeLength:	  50.00
2016-4-13
1020
001
DataNumber:	4830
index	Load(kN)	Defor(mm)	Stroke(mm)	Time(s)
  318	  5.1660	  0.2760	   1.046	  63.795
  319	  5.1560	  0.2800	   1.049	  63.995
  320	  5.1460	  0.2840	   1.053	  64.195
  321	  5.1400	  0.2880	   1.055	  64.395
  322	  5.1300	  0.2920	   1.059	  64.595
  323	  5.1260	  0.2960	   1.062	  64.795
  324	  5.1240	  0.2980	   1.065	  64.995
  325	  5.1200	  0.3020	   1.069	  65.195
  326	  5.1140	  0.3060	   1.071	  65.395
  327	  5.1020	  0.3100	   1.075	  65.595
  328	  5.0920	  0.3140	   1.077	  65.795
  329	  5.0900	  0.3180	   1.081	  65.995
  330	  5.0940	  0.3200	   1.084	  66.195
  331	  5.0960	  0.3240	   1.087	  66.395
  332	  5.0900	  0.3280	   1.090	  66.595
  333	  5.0760	  0.3320	   1.094	  66.795
  334	  5.0580	  0.3360	   1.096	  66.995
  335	  5.0500	  0.3380	   1.100	  67.195
  336	  5.0520	  0.3420	   1.104	  67.395
  337	  5.0540	  0.3460	   1.106	  67.595
  338	  5.0540	  0.3500	   1.110	  67.795
  339	  5.0520	  0.3520	   1.112	  67.995
  340	  5.0520	  0.3560	   1.116	  68.195
  341	  5.0540	  0.3600	   1.119	  68.395
  342	  5.0540	  0.3640	   1.122	  68.595
  343	  5.0580	  0.3660	   1.125	  68.795
  344	  5.0620	  0.3700	   1.129	  68.995
  345	  5.0620	  0.3740	   1.131	  69.195
  346	  5.0520	  0.3760	   1.135	  69.395
  347	  5.0480	  0.3800	   1.137	  69.595
  348	  5.0520	  0.3840	   1.141	  69.795
  349	  5.0620	  0.3860	   1.145	  69.995
  350	  5.0720	  0.3900	   1.147	  70.195
  351	  5.0760	  0.3920	   1.151	  70.395
  352	  5.0760	  0.3960	   1.154	  70.595
  353	  5.0760	  0.4000	   1.158	  70.795
  354	  5.0780	  0.4020	   1.160	  70.995
  355	  5.0800	  0.4060	   1.164	  71.195
  356	  5.0860	  0.4080	   1.166	  71.395
  357	  5.0960	  0.4120	   1.170	  71.595
  358	  5.1000	  0.4140	   1.173	  71.795
  359	  5.1000	  0.4180	   1.176	  71.995
  360	  5.1000	  0.4220	   1.180	  72.195
  361	  5.0980	  0.4260	   1.183	  72.395
  362	  5.0980	  0.4280	   1.186	  72.595
  363	  5.0980	  0.4320	   1.189	  72.795
  364	  5.1020	  0.4340	   1.192	  72.995
  365	  5.1020	  0.4380	   1.195	  73.195
  366	  5.1080	  0.4420	   1.199	  73.395
  367	  5.1180	  0.4440	   1.201	  73.595
  368	  5.1320	  0.4480	   1.205	  73.795
  369	  5.1460	  0.4500	   1.207	  73.995
  370	  5.1580	  0.4520	   1.211	  74.195
  371	  5.1700	  0.4560	   1.214	  74.395
  372	  5.1820	  0.4580	   1.217	  74.595
  373	  5.1920	  0.4620	   1.221	  74.795
  374	  5.2020	  0.4640	   1.224	  74.995
  375	  5.2080	  0.4680	   1.227	  75.195
  376	  5.2140	  0.4700	   1.230	  75.395
